Date_reported,Cumulative_cases,Cumulative_deaths
03-01-20,0,0
04-01-20,0,0
05-01-20,0,0
06-01-20,0,0
07-01-20,0,0
08-01-20,0,0
09-01-20,0,0
10-01-20,0,0
11-01-20,0,0
12-01-20,0,0
13-01-20,0,0
14-01-20,0,0
15-01-20,0,0
16-01-20,0,0
17-01-20,0,0
18-01-20,0,0
19-01-20,0,0
20-01-20,0,0
21-01-20,0,0
22-01-20,0,0
23-01-20,0,0
24-01-20,0,0
25-01-20,0,0
26-01-20,0,0
27-01-20,0,0
28-01-20,0,0
29-01-20,0,0
30-01-20,0,0
31-01-20,0,0
01-02-20,0,0
02-02-20,0,0
03-02-20,0,0
04-02-20,0,0
05-02-20,0,0
06-02-20,0,0
07-02-20,0,0
08-02-20,0,0
09-02-20,0,0
10-02-20,0,0
11-02-20,0,0
12-02-20,0,0
13-02-20,0,0
14-02-20,0,0
15-02-20,0,0
16-02-20,0,0
17-02-20,0,0
18-02-20,0,0
19-02-20,0,0
20-02-20,0,0
21-02-20,0,0
22-02-20,0,0
23-02-20,0,0
24-02-20,5,0
25-02-20,5,0
26-02-20,5,0
27-02-20,5,0
28-02-20,5,0
29-02-20,5,0
01-03-20,5,0
02-03-20,5,0
03-03-20,5,0
04-03-20,5,0
05-03-20,5,0
06-03-20,5,0
07-03-20,8,0
08-03-20,8,0
09-03-20,8,0
10-03-20,8,0
11-03-20,11,0
12-03-20,11,0
13-03-20,11,0
14-03-20,14,0
15-03-20,20,0
16-03-20,25,0
17-03-20,24,0
18-03-20,24,0
19-03-20,24,0
20-03-20,24,0
21-03-20,24,0
22-03-20,34,0
23-03-20,40,1
24-03-20,42,1
25-03-20,74,1
26-03-20,80,2
27-03-20,91,2
28-03-20,106,2
29-03-20,114,4
30-03-20,114,4
31-03-20,166,4
01-04-20,192,4
02-04-20,235,4
03-04-20,269,5
04-04-20,270,5
05-04-20,299,7
06-04-20,337,7
07-04-20,367,11
08-04-20,423,14
09-04-20,444,15
10-04-20,521,15
11-04-20,521,15
12-04-20,555,18
13-04-20,607,19
14-04-20,665,22
15-04-20,770,25
16-04-20,794,29
17-04-20,845,30
18-04-20,908,30
19-04-20,933,30
20-04-20,996,33
21-04-20,1026,36
22-04-20,1092,36
23-04-20,1176,40
24-04-20,1226,40
25-04-20,1330,43
26-04-20,1463,49
27-04-20,1531,50
28-04-20,1703,60
29-04-20,1827,60
30-04-20,1827,60
01-05-20,2171,64
02-05-20,2469,72
03-05-20,2469,72
04-05-20,2469,72
05-05-20,2469,72
06-05-20,3224,95
07-05-20,3392,104
08-05-20,3563,105
09-05-20,3563,105
10-05-20,4402,119
11-05-20,4664,120
12-05-20,4967,127
13-05-20,4967,127
14-05-20,5339,136
15-05-20,6053,153
16-05-20,6402,168
17-05-20,6635,169
18-05-20,7072,173
19-05-20,7655,177
20-05-20,8145,187
21-05-20,8676,193
22-05-20,9216,205
23-05-20,9952,215
24-05-20,10668,222
25-05-20,11180,223
26-05-20,11917,224
27-05-20,12465,230
28-05-20,13102,239
