Date,Close/Last,Volume,Open,High,Low
05/17/2022,$149.24,78336250,$148.86,$149.77,$146.68
05/16/2022,$145.54,86643780,$145.55,$147.5199,$144.18
05/13/2022,$147.11,113990900,$144.59,$148.105,$143.11
05/12/2022,$142.56,182602000,$142.77,$146.2,$138.8
05/11/2022,$146.5,142689800,$153.5,$155.45,$145.81
05/10/2022,$154.51,115366700,$155.52,$156.74,$152.93
05/09/2022,$152.06,131577900,$154.925,$155.83,$151.49
05/06/2022,$157.28,116124600,$156.01,$159.44,$154.18
05/05/2022,$156.77,130525300,$163.85,$164.08,$154.95
05/04/2022,$166.02,108256500,$159.67,$166.48,$159.26
05/03/2022,$159.48,88966530,$158.15,$160.71,$156.32
05/02/2022,$157.96,123055300,$156.71,$158.23,$153.27
04/29/2022,$157.65,131747600,$161.84,$166.2,$157.25
04/28/2022,$163.64,130216800,$159.25,$164.515,$158.93
04/27/2022,$156.57,88063190,$155.91,$159.79,$155.38
04/26/2022,$156.8,95623240,$162.25,$162.34,$156.72
04/25/2022,$162.88,96046380,$161.12,$163.17,$158.46
04/22/2022,$161.79,84882420,$166.46,$167.8699,$161.5
04/21/2022,$166.42,87227770,$168.91,$171.53,$165.91
04/20/2022,$167.23,67929810,$168.76,$168.88,$166.1
04/19/2022,$167.4,67723830,$165.02,$167.82,$163.91
04/18/2022,$165.07,69023940,$163.92,$166.5984,$163.57
