title,runtime,genre,rating,votes,metascore
Spider-Man: No Way Home,148 min,"Action, Adventure, Fantasy",8.4,"626,167",71
Dune,155 min,"Action, Adventure, Drama",8.1,"563,930",74
The Black Phone,102 min,Horror,7.4,825,79
Sing 2,110 min,"Animation, Adventure, Comedy",7.4,"48,078",49
No Time to Die,163 min,"Action, Adventure, Thriller",7.3,"351,219",68
The Survivor,129 min,"Biography, Drama, Sport",6.8,"1,546",71
Eternals,156 min,"Action, Adventure, Fantasy",6.3,"301,502",52
CODA,111 min,"Comedy, Drama, Music",8,"107,308",74
Venom: Let There Be Carnage,97 min,"Action, Adventure, Sci-Fi",6,"198,708",49
Encanto,102 min,"Animation, Comedy, Family",7.2,"194,906",75
The King's Man,131 min,"Action, Adventure, Thriller",6.3,"122,886",44
Nightmare Alley,150 min,"Crime, Drama, Thriller",7.1,"120,179",70
Licorice Pizza,133 min,"Comedy, Drama, Romance",7.3,"80,270",90
The Suicide Squad,132 min,"Action, Adventure, Comedy",7.2,"327,594",72
Wrath of Man,119 min,"Action, Crime, Thriller",7.1,"161,052",57
Ghostbusters: Afterlife,124 min,"Adventure, Comedy, Fantasy",7.1,"144,575",45
Operation Mincemeat,128 min,"Drama, War",6.8,"3,732",63
Free Guy,115 min,"Action, Adventure, Comedy",7.1,"336,012",62
West Side Story,156 min,"Crime, Drama, Musical",7.2,"70,753",85
Don't Look Up,138 min,"Comedy, Drama, Sci-Fi",7.2,"499,081",49
House of Gucci,158 min,"Crime, Drama",6.6,"102,724",59
Nobody,92 min,"Action, Crime, Drama",7.4,"224,126",64
The Matrix Resurrections,148 min,"Action, Sci-Fi",5.7,"222,085",63
The Power of the Dog,126 min,"Drama, Romance, Western",6.9,"158,613",89
Shang-Chi and the Legend of the Ten Rings,132 min,"Action, Adventure, Fantasy",7.4,"350,566",71
Zack Snyder's Justice League,242 min,"Action, Adventure, Fantasy",8,"376,990",54
The Worst Person in the World,128 min,"Comedy, Drama, Romance",7.9,"41,293",90
Snake Eyes,121 min,"Action, Adventure, Crime",5.3,"35,262",43
The French Dispatch,107 min,"Comedy, Drama, Romance",7.2,"104,839",74
F9: The Fast Saga,143 min,"Action, Crime, Thriller",5.2,"122,780",58
The Last Duel,152 min,"Action, Drama, History",7.4,"138,757",67
Belfast,98 min,"Biography, Drama",7.3,"57,879",75
The Sadness,99 min,Horror,6.4,"4,072",69
The Cursed,111 min,"Fantasy, Horror, Mystery",6.3,"6,496",62
Old,108 min,"Drama, Horror, Mystery",5.8,"95,857",55
Last Night in Soho,116 min,"Drama, Horror, Mystery",7.1,"102,754",65
The Green Knight,130 min,"Adventure, Drama, Fantasy",6.6,"91,074",85
King Richard,144 min,"Biography, Drama, Sport",7.5,"91,272",76
Black Widow,134 min,"Action, Adventure, Sci-Fi",6.7,"351,141",67
Pleasure,109 min,Drama,6.3,"8,771",77
Candyman,91 min,"Horror, Thriller",5.9,"54,305",72
Happening,100 min,Drama,7.4,"2,712",85
Red Notice,118 min,"Action, Comedy, Thriller",6.3,"255,590",37
Boiling Point,92 min,"Drama, Thriller",7.5,"16,890",73
Drive My Car,179 min,Drama,7.6,"38,785",91
Pig,92 min,"Drama, Mystery, Thriller",6.9,"64,666",82
"tick, tick... BOOM!",120 min,"Biography, Drama, Musical",7.5,"96,557",74
The Voyeurs,116 min,"Drama, Mystery, Thriller",6,"18,334",54
Resident Evil: Welcome to Raccoon City,107 min,"Action, Horror, Sci-Fi",5.2,"42,751",44
Cruella,134 min,"Adventure, Comedy, Crime",7.3,"220,087",59
The Innocents,117 min,"Drama, Fantasy, Horror",7,"5,693",77
The Eyes of Tammy Faye,126 min,"Biography, Drama, Romance",6.6,"26,915",55
Clean,94 min,"Action, Crime, Drama",5.6,"5,329",43
Infinite,106 min,"Action, Sci-Fi, Thriller",5.4,"45,443",28
Spencer,117 min,"Biography, Drama",6.7,"57,546",76
Dear Evan Hansen,137 min,"Drama, Musical",6.1,"11,894",39
Hitman's Wife's Bodyguard,100 min,"Action, Comedy, Crime",6.1,"83,933",32
Jungle Cruise,127 min,"Action, Adventure, Comedy",6.6,"176,903",50
Benedetta,131 min,"Biography, Drama, History",6.8,"15,735",73
Godzilla vs. Kong,113 min,"Action, Sci-Fi, Thriller",6.3,"197,533",59
Old Henry,99 min,"Action, Drama, Western",7.2,"20,576",69
Red Rocket,130 min,"Comedy, Drama",7.2,"17,641",76
The Forever Purge,103 min,"Action, Horror, Thriller",5.4,"30,079",53
The Many Saints of Newark,120 min,"Crime, Drama",6.3,"49,313",60
Army of Thieves,127 min,"Action, Comedy, Crime",6.4,"71,121",49
The Hating Game,102 min,"Comedy, Romance",6.2,"11,440",
The Lost Daughter,121 min,Drama,6.7,"56,728",86
C'mon C'mon,109 min,Drama,7.5,"22,542",82
Firebird,107 min,"Drama, Romance",7.1,"5,903",50
Escape Room: Tournament of Champions,88 min,"Action, Adventure, Horror",5.7,"39,935",48
Stillwater,139 min,"Crime, Drama, Thriller",6.6,"37,323",60
The Unforgivable,112 min,"Crime, Drama",7.1,"102,060",41
The Tomorrow War,138 min,"Action, Adventure, Drama",6.5,"195,261",45
The Little Things,128 min,"Crime, Drama, Mystery",6.3,"94,003",54
The Guilty,90 min,"Crime, Drama, Thriller",6.3,"113,587",63
Malignant,111 min,"Crime, Horror, Mystery",6.2,"81,651",51
Army of the Dead,148 min,"Action, Crime, Horror",5.7,"166,927",57
After We Fell,98 min,"Drama, Romance",4.6,"12,362",
Petite Maman,73 min,"Drama, Fantasy",7.4,"8,352",93
